chrom,start,end,region,panel
chr1,182808143,182808144,chr1_182808141_182808238,TSMA_panel
chr1,182808163,182808164,chr1_182808141_182808238,TSMA_panel
chr1,182808187,182808188,chr1_182808141_182808238,TSMA_panel
chr1,182808220,182808221,chr1_182808141_182808238,TSMA_panel
chr1,182808238,182808239,chr1_182808141_182808238,TSMA_panel
chr1,184006169,184006170,chr1_184006169_184006262,TSMA_panel
chr1,184006171,184006172,chr1_184006169_184006262,TSMA_panel
chr1,184006183,184006184,chr1_184006169_184006262,TSMA_panel
chr1,184006189,184006190,chr1_184006169_184006262,TSMA_panel
chr1,184006191,184006192,chr1_184006169_184006262,TSMA_panel
chr1,184006196,184006197,chr1_184006169_184006262,TSMA_panel
chr1,184006199,184006200,chr1_184006169_184006262,TSMA_panel
chr1,184006201,184006202,chr1_184006169_184006262,TSMA_panel
chr1,184006204,184006205,chr1_184006169_184006262,TSMA_panel
chr1,184006209,184006210,chr1_184006169_184006262,TSMA_panel
chr1,184006216,184006217,chr1_184006169_184006262,TSMA_panel
chr1,184006220,184006221,chr1_184006169_184006262,TSMA_panel
chr1,184006222,184006223,chr1_184006169_184006262,TSMA_panel
chr1,184006262,184006263,chr1_184006169_184006262,TSMA_panel
chr1,184006699,184006700,chr1_184006697_184006765,TSMA_panel
chr1,184006705,184006706,chr1_184006697_184006765,TSMA_panel
chr1,184006710,184006711,chr1_184006697_184006765,TSMA_panel
chr1,184006722,184006723,chr1_184006697_184006765,TSMA_panel
chr1,184006728,184006729,chr1_184006697_184006765,TSMA_panel
chr1,184006738,184006739,chr1_184006697_184006765,TSMA_panel
chr1,184006743,184006744,chr1_184006697_184006765,TSMA_panel
chr1,184006749,184006750,chr1_184006697_184006765,TSMA_panel
chr1,184006765,184006766,chr1_184006697_184006765,TSMA_panel
chr1,185287131,185287132,chr1_185287129_185287208,TSMA_panel
chr1,185287148,185287149,chr1_185287129_185287208,TSMA_panel
chr1,185287162,185287163,chr1_185287129_185287208,TSMA_panel
chr1,185287167,185287168,chr1_185287129_185287208,TSMA_panel
chr1,185287173,185287174,chr1_185287129_185287208,TSMA_panel
chr1,185287208,185287209,chr1_185287129_185287208,TSMA_panel
chr1,208132494,208132495,chr1_208132492_208132592,TSMA_panel
chr1,208132505,208132506,chr1_208132492_208132592,TSMA_panel
chr1,208132524,208132525,chr1_208132492_208132592,TSMA_panel
chr1,208132527,208132528,chr1_208132492_208132592,TSMA_panel
chr1,208132536,208132537,chr1_208132492_208132592,TSMA_panel
chr1,208132538,208132539,chr1_208132492_208132592,TSMA_panel
chr1,208132541,208132542,chr1_208132492_208132592,TSMA_panel
chr1,208132543,208132544,chr1_208132492_208132592,TSMA_panel
chr1,208132555,208132556,chr1_208132492_208132592,TSMA_panel
chr1,208132557,208132558,chr1_208132492_208132592,TSMA_panel
chr1,208132560,208132561,chr1_208132492_208132592,TSMA_panel
chr1,208132563,208132564,chr1_208132492_208132592,TSMA_panel
chr1,208132575,208132576,chr1_208132492_208132592,TSMA_panel
chr1,208132590,208132591,chr1_208132492_208132592,TSMA_panel
chr1,208132592,208132593,chr1_208132492_208132592,TSMA_panel
chr1,223538305,223538306,chr1_223538303_223538399,TSMA_panel
chr1,223538316,223538317,chr1_223538303_223538399,TSMA_panel
chr1,223538334,223538335,chr1_223538303_223538399,TSMA_panel
chr1,223538348,223538349,chr1_223538303_223538399,TSMA_panel
chr1,223538350,223538351,chr1_223538303_223538399,TSMA_panel
chr1,223538359,223538360,chr1_223538303_223538399,TSMA_panel
chr1,223538379,223538380,chr1_223538303_223538399,TSMA_panel
chr1,223538385,223538386,chr1_223538303_223538399,TSMA_panel
chr1,223538391,223538392,chr1_223538303_223538399,TSMA_panel
chr1,223538399,223538400,chr1_223538303_223538399,TSMA_panel
chr1,247170974,247170975,chr1_247170972_247171072,TSMA_panel
chr1,247170994,247170995,chr1_247170972_247171072,TSMA_panel
chr1,247171009,247171010,chr1_247170972_247171072,TSMA_panel
chr1,247171013,247171014,chr1_247170972_247171072,TSMA_panel
chr1,247171021,247171022,chr1_247170972_247171072,TSMA_panel
chr1,247171027,247171028,chr1_247170972_247171072,TSMA_panel
chr1,247171032,247171033,chr1_247170972_247171072,TSMA_panel
chr1,247171045,247171046,chr1_247170972_247171072,TSMA_panel
chr1,247171047,247171048,chr1_247170972_247171072,TSMA_panel
chr1,247171052,247171053,chr1_247170972_247171072,TSMA_panel
chr1,247171065,247171066,chr1_247170972_247171072,TSMA_panel
chr1,247171072,247171073,chr1_247170972_247171072,TSMA_panel
chr1,2984578,2984579,chr1_2984576_2984669,TSMA_panel
chr1,2984587,2984588,chr1_2984576_2984669,TSMA_panel
chr1,2984590,2984591,chr1_2984576_2984669,TSMA_panel
chr1,2984595,2984596,chr1_2984576_2984669,TSMA_panel
chr1,2984600,2984601,chr1_2984576_2984669,TSMA_panel
chr1,2984631,2984632,chr1_2984576_2984669,TSMA_panel
chr1,2984639,2984640,chr1_2984576_2984669,TSMA_panel
chr1,2984646,2984647,chr1_2984576_2984669,TSMA_panel
chr1,2984650,2984651,chr1_2984576_2984669,TSMA_panel
chr1,2984666,2984667,chr1_2984576_2984669,TSMA_panel
chr1,2984669,2984670,chr1_2984576_2984669,TSMA_panel
chr1,2984794,2984795,chr1_2984792_2984892,TSMA_panel
chr1,2984796,2984797,chr1_2984792_2984892,TSMA_panel
chr1,2984799,2984800,chr1_2984792_2984892,TSMA_panel
chr1,2984810,2984811,chr1_2984792_2984892,TSMA_panel
chr1,2984812,2984813,chr1_2984792_2984892,TSMA_panel
chr1,2984816,2984817,chr1_2984792_2984892,TSMA_panel
chr1,2984826,2984827,chr1_2984792_2984892,TSMA_panel
chr1,2984830,2984831,chr1_2984792_2984892,TSMA_panel
chr1,2984840,2984841,chr1_2984792_2984892,TSMA_panel
chr1,2984848,2984849,chr1_2984792_2984892,TSMA_panel
chr1,2984854,2984855,chr1_2984792_2984892,TSMA_panel
chr1,2984869,2984870,chr1_2984792_2984892,TSMA_panel
chr1,2984879,2984880,chr1_2984792_2984892,TSMA_panel
chr1,2984881,2984882,chr1_2984792_2984892,TSMA_panel
chr1,2984892,2984893,chr1_2984792_2984892,TSMA_panel
chr1,33565334,33565335,chr1_33565332_33565420,TSMA_panel
chr1,33565342,33565343,chr1_33565332_33565420,TSMA_panel
chr1,33565386,33565387,chr1_33565332_33565420,TSMA_panel
chr1,33565392,33565393,chr1_33565332_33565420,TSMA_panel
chr1,33565420,33565421,chr1_33565332_33565420,TSMA_panel
chr1,37500047,37500048,chr1_37500045_37500143,TSMA_panel
chr1,37500051,37500052,chr1_37500045_37500143,TSMA_panel
chr1,37500060,37500061,chr1_37500045_37500143,TSMA_panel
chr1,37500062,37500063,chr1_37500045_37500143,TSMA_panel
chr1,37500068,37500069,chr1_37500045_37500143,TSMA_panel
chr1,37500072,37500073,chr1_37500045_37500143,TSMA_panel
chr1,37500087,37500088,chr1_37500045_37500143,TSMA_panel
chr1,37500090,37500091,chr1_37500045_37500143,TSMA_panel
chr1,37500093,37500094,chr1_37500045_37500143,TSMA_panel
chr1,37500102,37500103,chr1_37500045_37500143,TSMA_panel
chr1,37500106,37500107,chr1_37500045_37500143,TSMA_panel
chr1,37500112,37500113,chr1_37500045_37500143,TSMA_panel
chr1,37500124,37500125,chr1_37500045_37500143,TSMA_panel
chr1,37500139,37500140,chr1_37500045_37500143,TSMA_panel
chr1,37500141,37500142,chr1_37500045_37500143,TSMA_panel
chr1,37500143,37500144,chr1_37500045_37500143,TSMA_panel
chr1,37500174,37500175,chr1_37500172_37500267,TSMA_panel
chr1,37500186,37500187,chr1_37500172_37500267,TSMA_panel
chr1,37500193,37500194,chr1_37500172_37500267,TSMA_panel
chr1,37500195,37500196,chr1_37500172_37500267,TSMA_panel
chr1,37500198,37500199,chr1_37500172_37500267,TSMA_panel
chr1,37500202,37500203,chr1_37500172_37500267,TSMA_panel
chr1,37500205,37500206,chr1_37500172_37500267,TSMA_panel
chr1,37500209,37500210,chr1_37500172_37500267,TSMA_panel
chr1,37500211,37500212,chr1_37500172_37500267,TSMA_panel
chr1,37500220,37500221,chr1_37500172_37500267,TSMA_panel
chr1,37500222,37500223,chr1_37500172_37500267,TSMA_panel
chr1,37500232,37500233,chr1_37500172_37500267,TSMA_panel
chr1,37500234,37500235,chr1_37500172_37500267,TSMA_panel
chr1,37500262,37500263,chr1_37500172_37500267,TSMA_panel
chr1,37500267,37500268,chr1_37500172_37500267,TSMA_panel
chr1,37500275,37500276,chr1_37500273_37500369,TSMA_panel
chr1,37500277,37500278,chr1_37500273_37500369,TSMA_panel
chr1,37500279,37500280,chr1_37500273_37500369,TSMA_panel
chr1,37500291,37500292,chr1_37500273_37500369,TSMA_panel
chr1,37500293,37500294,chr1_37500273_37500369,TSMA_panel
chr1,37500300,37500301,chr1_37500273_37500369,TSMA_panel
chr1,37500334,37500335,chr1_37500273_37500369,TSMA_panel
chr1,37500338,37500339,chr1_37500273_37500369,TSMA_panel
chr1,37500345,37500346,chr1_37500273_37500369,TSMA_panel
chr1,37500358,37500359,chr1_37500273_37500369,TSMA_panel
chr1,37500369,37500370,chr1_37500273_37500369,TSMA_panel
chr1,38019464,38019465,chr1_38019462_38019552,TSMA_panel
chr1,38019502,38019503,chr1_38019462_38019552,TSMA_panel
chr1,38019512,38019513,chr1_38019462_38019552,TSMA_panel
chr1,38019535,38019536,chr1_38019462_38019552,TSMA_panel
chr1,38019539,38019540,chr1_38019462_38019552,TSMA_panel
chr1,38019552,38019553,chr1_38019462_38019552,TSMA_panel
chr1,38510722,38510723,chr1_38510720_38510815,TSMA_panel
chr1,38510728,38510729,chr1_38510720_38510815,TSMA_panel
chr1,38510735,38510736,chr1_38510720_38510815,TSMA_panel
chr1,38510741,38510742,chr1_38510720_38510815,TSMA_panel
chr1,38510750,38510751,chr1_38510720_38510815,TSMA_panel
chr1,38510764,38510765,chr1_38510720_38510815,TSMA_panel
chr1,38510771,38510772,chr1_38510720_38510815,TSMA_panel
chr1,38510774,38510775,chr1_38510720_38510815,TSMA_panel
chr1,38510799,38510800,chr1_38510720_38510815,TSMA_panel
chr1,38510802,38510803,chr1_38510720_38510815,TSMA_panel
chr1,38510815,38510816,chr1_38510720_38510815,TSMA_panel
chr1,39025400,39025401,chr1_39025398_39025500,TSMA_panel
chr1,39025420,39025421,chr1_39025398_39025500,TSMA_panel
chr1,39025463,39025464,chr1_39025398_39025500,TSMA_panel
chr1,39025469,39025470,chr1_39025398_39025500,TSMA_panel
chr1,39025492,39025493,chr1_39025398_39025500,TSMA_panel
chr1,39025496,39025497,chr1_39025398_39025500,TSMA_panel
chr1,39025500,39025501,chr1_39025398_39025500,TSMA_panel
chr1,40236202,40236203,chr1_40236200_40236282,TSMA_panel
chr1,40236205,40236206,chr1_40236200_40236282,TSMA_panel
chr1,40236210,40236211,chr1_40236200_40236282,TSMA_panel
chr1,40236234,40236235,chr1_40236200_40236282,TSMA_panel
chr1,40236245,40236246,chr1_40236200_40236282,TSMA_panel
chr1,40236249,40236250,chr1_40236200_40236282,TSMA_panel
chr1,40236267,40236268,chr1_40236200_40236282,TSMA_panel
chr1,40236278,40236279,chr1_40236200_40236282,TSMA_panel
chr1,40236282,40236283,chr1_40236200_40236282,TSMA_panel
