,pos,chrom,region
0,212456925,2,2_212456923_212457003
1,212456935,2,2_212456923_212457003
2,212456956,2,2_212456923_212457003
3,212456967,2,2_212456923_212457003
4,212457003,2,2_212456923_212457003
0,48977116,11,11_48977114_48977214
1,48977133,11,11_48977114_48977214
2,48977137,11,11_48977114_48977214
3,48977158,11,11_48977114_48977214
4,48977167,11,11_48977114_48977214
5,48977214,11,11_48977114_48977214
0,70655357,14,14_70655355_70655451
1,70655367,14,14_70655355_70655451
2,70655382,14,14_70655355_70655451
3,70655386,14,14_70655355_70655451
4,70655410,14,14_70655355_70655451
5,70655420,14,14_70655355_70655451
6,70655436,14,14_70655355_70655451
7,70655440,14,14_70655355_70655451
8,70655451,14,14_70655355_70655451
0,236227426,1,1_236227424_236227521
1,236227431,1,1_236227424_236227521
2,236227456,1,1_236227424_236227521
3,236227468,1,1_236227424_236227521
4,236227478,1,1_236227424_236227521
5,236227514,1,1_236227424_236227521
6,236227521,1,1_236227424_236227521
0,236228412,1,1_236228410_236228495
1,236228414,1,1_236228410_236228495
2,236228433,1,1_236228410_236228495
3,236228445,1,1_236228410_236228495
4,236228449,1,1_236228410_236228495
5,236228474,1,1_236228410_236228495
6,236228481,1,1_236228410_236228495
7,236228484,1,1_236228410_236228495
8,236228495,1,1_236228410_236228495
0,236228515,1,1_236228513_236228613
1,236228527,1,1_236228513_236228613
2,236228537,1,1_236228513_236228613
3,236228542,1,1_236228513_236228613
4,236228549,1,1_236228513_236228613
5,236228553,1,1_236228513_236228613
6,236228555,1,1_236228513_236228613
7,236228558,1,1_236228513_236228613
8,236228560,1,1_236228513_236228613
9,236228577,1,1_236228513_236228613
10,236228579,1,1_236228513_236228613
11,236228591,1,1_236228513_236228613
12,236228598,1,1_236228513_236228613
13,236228604,1,1_236228513_236228613
14,236228613,1,1_236228513_236228613
0,155555200,2,2_155555198_155555300
1,155555233,2,2_155555198_155555300
2,155555246,2,2_155555198_155555300
3,155555252,2,2_155555198_155555300
4,155555257,2,2_155555198_155555300
5,155555259,2,2_155555198_155555300
